Martian Runtime - v4.0.12
Serving UI at http://osd06:45583?auth=TCOmH9_CTtaYoAurj8RyEAD-jgLRdI69ZAAgR-bxIjc

Running preflight checks (please wait)...
2024-12-04 10:16:36 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.PARSE_AGGR_CSV
2024-12-04 10:16:36 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.PARSE_AGGR_CSV.fork0.chnk0.main
2024-12-04 10:16:36 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.PARSE_AGGR_CSV
2024-12-04 10:16:54 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION
2024-12-04 10:16:54 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION.fork0.split
2024-12-04 10:16:55 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION
2024-12-04 10:16:55 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION.fork0.chnk0.main
2024-12-04 10:16:55 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION.fork0.chnk1.main
2024-12-04 10:16:56 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION
2024-12-04 10:16:56 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION.fork0.join
2024-12-04 10:16:57 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CHECK_MOLECULE_INFO_VERSION
2024-12-04 10:16:57 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SETUP_SAMPLES
2024-12-04 10:16:58 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SETUP_SAMPLES.fork0.chnk0.main
2024-12-04 10:16:58 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.VDJ_AGGR.SC_VDJ_AGGREGATOR.ANTIGEN_AGGR._ANTIGEN_ANALYZER.SUMMARIZE_ANTIBODY_ANALYSIS
2024-12-04 10:16:58 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SETUP_SAMPLES
2024-12-04 10:16:58 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES
2024-12-04 10:16:58 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES.fork0.split
2024-12-04 10:16:58 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES
2024-12-04 10:16:58 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES.fork0.chnk0.main
2024-12-04 10:16:58 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES.fork0.chnk1.main
2024-12-04 10:17:12 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES
2024-12-04 10:17:12 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES.fork0.join
2024-12-04 10:18:27 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.MERGE_MOLECULES
2024-12-04 10:18:27 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH
2024-12-04 10:18:27 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH.fork0.split
2024-12-04 10:18:27 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.CRISPR_AGGR_INPUT_PREP
2024-12-04 10:18:28 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH
2024-12-04 10:18:28 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH.fork0.chnk0.main
2024-12-04 10:19:35 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH
2024-12-04 10:19:35 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH.fork0.join
2024-12-04 10:19:37 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.NORMALIZE_DEPTH
2024-12-04 10:19:37 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.WRITE_MATRICES
2024-12-04 10:19:37 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.WRITE_MATRICES.fork0.split
2024-12-04 10:19:39 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.WRITE_MATRICES
2024-12-04 10:19:39 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.WRITE_MATRICES.fork0.join
2024-12-04 10:21:12 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.WRITE_MATRICES
2024-12-04 10:21:12 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.ANALYZER_PREFLIGHT
2024-12-04 10:21:12 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.ANALYZER_PREFLIGHT.fork0.chnk0.main
2024-12-04 10:21:12 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.VDJ_AGGR.SC_VDJ_AGGREGATOR.ANTIGEN_AGGR._ANTIGEN_ANALYZER.CALL_ANTIBODIES
2024-12-04 10:21:12 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR._CRISPR_ANALYZER.CALL_PROTOSPACERS
