,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Xkr4,0.42462605,0.83361727,0.020955611,13.066209,17.903498,0.37731946,0.0008097413,5.922342,5.4188986,3.4021436e-05,3.4630432,0.00453751,0.011826051,5.7149367,5.351394,2.6036637,0.17948626,0.00049839774,23.377274,25.560291,0.06363338,0.3665833
Rp1,0.010412862,0.025340281,0.004571411,0.01689352,0.02604939,0.31827524,0.003231395,0.009809251,0.019467311,0.0019279807,0.0047603804,0.0071207327,0.0009086055,0.02381303,0.010273065,0.009598575,0.0039567593,0.0025434508,0.04030026,0.037833475,0.14200127,0.043811653
Sox17,0.0032855703,0.004441335,0.0056393114,0.00013971736,7.412099e-05,0.0050045075,0.0024229381,5.6612313e-05,0.00029951002,0.00043129653,1.6685477e-05,0.0017369941,0.0034801995,0.00013146846,0.0003678124,0.0015273058,0.009680861,0.00071615656,7.119588e-05,8.133892e-05,0.73906577,0.011210076
Mrpl15,0.18257585,0.26375848,0.033627354,0.1557693,0.24225728,0.09902848,0.07211948,0.098376125,0.17610319,0.058041953,0.051230233,0.11861676,0.059486013,0.1497059,0.12067687,0.12013908,0.1037792,0.09339303,0.42955068,0.46113804,0.13813554,0.1189873
Tcea1l1,0.2934926,0.50228155,0.112874515,0.34317926,0.42568696,0.17282592,0.14608057,0.2225401,0.3318261,0.124296695,0.15389453,0.19945593,0.08992805,0.29862875,0.2420354,0.23636588,0.17562278,0.16959848,0.6332271,0.6363526,0.21981841,0.21992034
Rgs20,6.0259333,13.023205,0.020477563,0.5355909,1.0040811,0.314672,0.00050602265,0.27002326,0.41362223,2.1214733e-05,0.20873366,0.00022418745,0.016932037,0.9589637,1.7032162,1.3524282,0.08426666,6.1627274e-05,1.5438839,1.3733215,0.042909265,0.057899415
Atp6v1h,0.86853456,1.3717141,0.11761912,1.36788,1.6362168,0.3490759,0.47798935,0.87666667,1.505967,0.42521554,0.58883035,0.74228907,0.21282431,1.2425038,0.7055748,0.6983122,0.37161103,0.9244642,3.2417746,3.2534516,0.46854666,0.5898627
Oprk1,0.004506377,0.0057385396,0.0014915013,0.11665537,0.35792994,0.011197878,0.00025616013,2.6572838e-05,7.028991e-05,1.6754047e-05,1.8752193e-05,0.00021632858,0.0005440792,0.00095963274,0.0096084485,0.0069230925,0.0047692745,3.6231715e-05,0.33398888,0.3435003,0.00013919982,0.00066408404
Rb1cc1,1.4911648,1.8705992,0.6919684,1.812114,2.2664301,0.8323985,0.8178765,1.2978123,1.9454312,0.74082655,0.91680044,0.82555205,0.6563521,1.5287919,1.1785342,1.3345275,1.042296,0.9578758,3.510398,3.688225,1.4990811,1.4452442
St18,0.12650174,0.16656223,0.19173561,0.0068490063,0.18683855,0.1137175,0.5350397,27.428755,45.46784,0.046745025,18.533552,1.0993555,0.108522415,36.735615,1.3909631,1.3868345,0.22923872,2.0635188,0.110623464,0.22240041,0.10789819,0.053201202
